model_type,momentum,method,init_method,lr,mean_r2,mean_mse
normal,False,sto,zeros,0.01,0.3694237449780851,0.3621930310778822
normal,False,sto,zeros,0.001,0.3374299117905566,0.3807884266121529
normal,False,sto,zeros,0.0001,-24.359044510835083,14.527502749821286
normal,False,sto,xavier,0.01,0.3656744968484098,0.3643673084051242
normal,False,sto,xavier,0.001,0.2070209466702867,0.452923322513101
normal,False,sto,xavier,0.0001,-24.968820271654472,14.869274189426395
normal,False,mini,zeros,0.01,0.3829789587834019,0.354319247036068
normal,False,mini,zeros,0.001,-65.12395724765449,37.88426405046011
normal,False,mini,zeros,0.0001,-259.4828714082816,149.2365115954928
normal,False,mini,xavier,0.01,0.0783486723218131,0.5281313463457952
normal,False,mini,xavier,0.001,-67.38907394150762,39.16422029102756
normal,False,mini,xavier,0.0001,-262.3215712705217,150.87262033561652
normal,False,batch,zeros,0.01,-235.8400269716014,135.69174070088715
normal,False,batch,zeros,0.001,-283.4212316771084,162.95183057408505
normal,False,batch,zeros,0.0001,-288.41855500558904,165.81488311568015
normal,False,batch,xavier,0.01,-238.0674500503563,136.9554379917336
normal,False,batch,xavier,0.001,-284.0474794378263,163.32207197789043
normal,False,batch,xavier,0.0001,-284.4593336943662,163.57598820477378
normal,True,sto,zeros,0.01,0.384494007673111,0.3534370155109125
normal,True,sto,zeros,0.001,-2.609875986507192,2.0741170865369267
normal,True,sto,zeros,0.0001,-193.104888209581,111.19886134897804
normal,True,sto,xavier,0.01,0.1859789929346976,0.4681538627285431
normal,True,sto,xavier,0.001,-2.8223544325369767,2.1957949082556505
normal,True,sto,xavier,0.0001,-193.70532282354807,111.49695935376788
normal,True,mini,zeros,0.01,-2.384501658685384,1.9400913054960784
normal,True,mini,zeros,0.001,-231.42794109275565,133.16222643370622
normal,True,mini,zeros,0.0001,-282.94114484299934,162.676849207933
normal,True,mini,xavier,0.01,-2.565994196915905,2.045501613204192
normal,True,mini,xavier,0.001,-231.5600019969066,133.2669488119237
normal,True,mini,xavier,0.0001,-285.34340508848646,163.99340951107723
normal,True,batch,zeros,0.01,-276.1701395556874,158.79755467125275
normal,True,batch,zeros,0.001,-287.68288780780983,165.393406705637
normal,True,batch,zeros,0.0001,-288.8470079684883,166.0603511960673
normal,True,batch,xavier,0.01,-276.5831309912626,159.06678718083378
normal,True,batch,xavier,0.001,-288.8032740198354,166.00956531302424
normal,True,batch,xavier,0.0001,-292.1344311155898,167.96599258300313
lasso,False,sto,zeros,0.01,0.7482413183092493,0.1447053950506198
lasso,False,sto,zeros,0.001,0.7556289431237838,0.1401694127879835
lasso,False,sto,zeros,0.0001,-12.366218750579693,7.648703580602512
lasso,False,sto,xavier,0.01,0.7585801310154163,0.1375062283479849
lasso,False,sto,xavier,0.001,0.7596561492658968,0.137921863111688
lasso,False,sto,xavier,0.0001,-13.085133649302724,8.064490586572909
lasso,False,mini,zeros,0.01,0.7736057698252411,0.1297421534504986
lasso,False,mini,zeros,0.001,-65.78263846219126,38.25734917100842
lasso,False,mini,zeros,0.0001,-259.54761353791525,149.27349337191964
lasso,False,mini,xavier,0.01,0.7734396032463333,0.1298745135502189
lasso,False,mini,xavier,0.001,-65.81169291022943,38.27677093498763
lasso,False,mini,xavier,0.0001,-258.8416457611585,148.85548970512713
lasso,False,batch,zeros,0.01,-235.6487500193535,135.5816585030652
lasso,False,batch,zeros,0.001,-283.40061703215287,162.93996908329513
lasso,False,batch,zeros,0.0001,-288.4164780518214,165.81368797929355
lasso,False,batch,xavier,0.01,-234.33170894518307,134.81432523975712
lasso,False,batch,xavier,0.001,-284.3419791071439,163.4209674218411
lasso,False,batch,xavier,0.0001,-288.7675932679961,166.04661012004968
lasso,True,sto,zeros,0.01,0.7553327208079951,0.1399373917760629
lasso,True,sto,zeros,0.001,0.7539758987774552,0.1410169876028937
lasso,True,sto,zeros,0.0001,-192.5074125922353,110.856499452222
lasso,True,sto,xavier,0.01,0.7553871741627068,0.1402361638769619
lasso,True,sto,xavier,0.001,0.753903574702156,0.1410646517332344
lasso,True,sto,xavier,0.0001,-193.27257560152788,111.29743772874032
lasso,True,mini,zeros,0.01,-2.327890915366205,1.906647387787918
lasso,True,mini,zeros,0.001,-231.54639020252384,133.22966512477524
lasso,True,mini,zeros,0.0001,-282.9471561302292,162.68008266916806
lasso,True,mini,xavier,0.01,-2.282858145237406,1.879540233218061
lasso,True,mini,xavier,0.001,-234.96773888052743,135.20294787438897
lasso,True,mini,xavier,0.0001,-284.02397441469145,163.35326818291117
lasso,True,batch,zeros,0.01,-276.12407585283347,158.77103224924116
lasso,True,batch,zeros,0.001,-287.6781289323336,165.39066830956045
lasso,True,batch,zeros,0.0001,-288.84653005312714,166.06007624709656
lasso,True,batch,xavier,0.01,-276.0382277800395,158.66282453046648
lasso,True,batch,xavier,0.001,-293.0058338456162,168.38794498018905
lasso,True,batch,xavier,0.0001,-288.3904043463058,165.79271371384425
ridge,False,sto,zeros,0.01,-38.10498583139564,22.41713767205896
ridge,False,sto,zeros,0.001,-41.18768331031253,24.15720991378198
ridge,False,sto,zeros,0.0001,-68.0833880580085,39.57134072328016
ridge,False,sto,xavier,0.01,-43.4537283023592,25.449893229910657
ridge,False,sto,xavier,0.001,-41.104612288539386,24.111762236927557
ridge,False,sto,xavier,0.0001,-68.45657732584496,39.7702354356636
ridge,False,mini,zeros,0.01,-7.721752497211862,4.9978974609768345
ridge,False,mini,zeros,0.001,-70.07464359946675,40.71623301596222
ridge,False,mini,zeros,0.0001,-259.5472275177166,149.27306406255636
ridge,False,mini,xavier,0.01,-7.722210346023362,4.998151509595383
ridge,False,mini,xavier,0.001,-70.99061354207299,41.20819198752908
ridge,False,mini,xavier,0.0001,-258.0889993901038,148.41063900119394
ridge,False,batch,zeros,0.01,-235.8398433057048,135.691635192776
ridge,False,batch,zeros,0.001,-283.4212314915814,162.95183046751336
ridge,False,batch,zeros,0.0001,-288.4185550054035,165.81488311557354
ridge,False,batch,xavier,0.01,-235.26947779273647,135.31420230909555
ridge,False,batch,xavier,0.001,-285.39187147180627,164.15479860515163
ridge,False,batch,xavier,0.0001,-290.1218423513722,166.83100251842205
ridge,True,sto,zeros,0.01,-40.948817502184895,24.01978522091908
ridge,True,sto,zeros,0.001,-44.105515971474816,25.834341345157032
ridge,True,sto,zeros,0.0001,-194.88947835243152,112.22133516469611
ridge,True,sto,xavier,0.01,-41.22545149206109,24.16699310581486
ridge,True,sto,xavier,0.001,-44.02169857624436,25.7858533928663
ridge,True,sto,xavier,0.0001,-195.96741318646497,112.83169846702246
ridge,True,mini,zeros,0.01,-12.919994327305542,7.976302405320959
ridge,True,mini,zeros,0.001,-231.68664840984275,133.3107248541401
ridge,True,mini,zeros,0.0001,-282.9464488599789,162.67961946517414
ridge,True,mini,xavier,0.01,-12.853577786859727,7.941010432804892
ridge,True,mini,xavier,0.001,-232.00723998984932,133.53234728718857
ridge,True,mini,xavier,0.0001,-282.5948732203953,162.4872055291408
ridge,True,batch,zeros,0.01,-276.1701372785253,158.79755336322154
ridge,True,batch,zeros,0.001,-287.68288780550625,165.3934067043138
ridge,True,batch,zeros,0.0001,-288.847007968486,166.06035119606597
ridge,True,batch,xavier,0.01,-273.7028669552281,157.3956917651669
ridge,True,batch,xavier,0.001,-287.0705024720972,164.9746772236362
ridge,True,batch,xavier,0.0001,-290.0740354350625,166.7710204892797
poly,False,sto,zeros,0.01,-7.081817837518216,4.636498943784833
poly,False,sto,zeros,0.001,0.3174463299695445,0.3903953509983578
poly,False,sto,zeros,0.0001,-13.037836896796104,7.995824221629267
poly,False,sto,xavier,0.01,-19.697696501001367,11.79636998650644
poly,False,sto,xavier,0.001,-12.451644436992227,7.684899968411027
poly,False,sto,xavier,0.0001,-42.57435193288634,25.055522170193832
poly,False,mini,zeros,0.01,-14.396562458270713,8.846635660028277
poly,False,mini,zeros,0.001,-24.161053320287373,14.348624494876493
poly,False,mini,zeros,0.0001,-162.6444283011245,93.74984965972355
poly,False,mini,xavier,0.01,-31.4263818508547,18.83136959379051
poly,False,mini,xavier,0.001,-44.14584259893097,25.933491469073783
poly,False,mini,xavier,0.0001,-192.08204404820827,110.61866262898324
poly,False,batch,zeros,0.01,-190.711935743189,109.83477264441635
poly,False,batch,zeros,0.001,-256.89419142766764,147.74950905605868
poly,False,batch,zeros,0.0001,-285.5743995936214,164.18470889940357
poly,False,batch,xavier,0.01,-201.10097240845138,115.78542860592911
poly,False,batch,xavier,0.001,-276.7871839666762,159.297895488525
